tr|A0A846SX11|A0A846SX11_9CYAN -          MIF_P14174           -            1.8e-20   86.3   0.0     2e-20   86.2   0.0   1.0   1   0   0   1   1   1   1 Macrophage migration inhibitory factor MIF-like protein OS=Synechococcaceae cyanobacterium SM1_2_3 OX=2720456 GN=HC889_07430 PE=4 SV=1
tr|W0DJH1|W0DJH1_9GAMM         -          MIF_P14174           -              5e-19   81.7   0.0   5.5e-19   81.6   0.0   1.0   1   0   0   1   1   1   1 Macrophage migration inhibitory factor (MIF) OS=Thioalkalivibrio paradoxus ARh 1 OX=713585 GN=THITH_02825 PE=4 SV=1
tr|Q3AX31|Q3AX31_SYNS9         -          MIF_P14174           -            1.4e-18   80.2   0.0   1.6e-18   80.1   0.0   1.0   1   0   0   1   1   1   1 Possible ATLS1-like light-inducible protein OS=Synechococcus sp. (strain CC9902) OX=316279 GN=Syncc9902_1470 PE=4 SV=1
tr|Q7U982|Q7U982_PARMW         -          MIF_P14174           -            7.8e-18   77.9   0.0   9.5e-18   77.6   0.0   1.1   1   0   0   1   1   1   1 Possible ATLS1-like light-inducible protein OS=Parasynechococcus marenigrum (strain WH8102) OX=84588 GN=SYNW0376 PE=4 SV=1
tr|A0A6N6TA31|A0A6N6TA31_9GAMM -          MIF_P14174           -              8e-18   77.8   0.0   8.3e-18   77.8   0.0   1.0   1   0   0   1   1   1   1 Phenylpyruvate tautomerase OS=Candidatus Contendobacter sp. OX=2651161 GN=F9K25_10860 PE=4 SV=1
tr|A0A661FPW5|A0A661FPW5_9GAMM -          MIF_P14174           -            9.5e-18   77.6   0.0     1e-17   77.5   0.0   1.0   1   0   0   1   1   1   1 Macrophage migration inhibitory factor (MIF) OS=Gammaproteobacteria bacterium OX=1913989 GN=DRQ62_02055 PE=4 SV=1
tr|A0A8B5WV97|A0A8B5WV97_9GAMM -          MIF_P14174           -            9.9e-18   77.5   0.0   1.1e-17   77.4   0.0   1.0   1   0   0   1   1   1   1 Macrophage migration inhibitory factor family OS=Candidatus Competibacteraceae bacterium OX=2053538 GN=EA420_16920 PE=4 SV=1
tr|A0A849U4I9|A0A849U4I9_9GAMM -          MIF_P14174           -            1.2e-17   77.3   0.0   1.3e-17   77.1   0.0   1.0   1   0   0   1   1   1   1 Macrophage migration inhibitory factor family OS=Methylococcaceae bacterium OX=1933926 GN=HOO92_03100 PE=4 SV=1
tr|A0A2D6Y7P0|A0A2D6Y7P0_9SYNE -          MIF_P14174           -            1.3e-17   77.2   0.0   1.4e-17   77.0   0.0   1.0   1   0   0   1   1   1   1 Light-inducible protein OS=Synechococcus sp. ARS1019 OX=2024878 GN=CMN91_12350 PE=4 SV=1
tr|L0E1A1|L0E1A1_THIND         -          MIF_P14174           -            2.5e-17   76.3   0.0   2.7e-17   76.1   0.0   1.0   1   0   0   1   1   1   1 Putative ATLS1-like light-inducible protein OS=Thioalkalivibrio nitratireducens (strain DSM 14787 / UNIQEM 213 / ALEN2) OX=1255043 GN=TVNIR_3391 PE=4 SV=1
