#                                                                         --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name                  accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#          ------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
tr|A0A835U013|A0A835U013_9PASS -          MIF_P14174           -            2.9e-81  282.2   0.1   3.3e-45  166.0   0.0   2.0   1   1   1   2   2   2   2 Macrophage migration inhibitory factor OS=Lamprotornis superbus OX=245042 GN=IHE44_013135 PE=3 SV=1
sp|P14174|MIF_HUMAN            -          MIF_P14174           -            3.8e-73  256.0   0.1   4.2e-73  255.9   0.1   1.0   1   0   0   1   1   1   1 Macrophage migration inhibitory factor OS=Homo sapiens OX=9606 GN=MIF PE=1 SV=4
sp|Q4R549|MIF_MACFA            -          MIF_P14174           -            3.8e-73  256.0   0.1   4.2e-73  255.9   0.1   1.0   1   0   0   1   1   1   1 Macrophage migration inhibitory factor OS=Macaca fascicularis OX=9541 GN=MIF PE=3 SV=3
sp|Q6DN04|MIF_MACMU            -          MIF_P14174           -            3.8e-73  256.0   0.1   4.2e-73  255.9   0.1   1.0   1   0   0   1   1   1   1 Macrophage migration inhibitory factor OS=Macaca mulatta OX=9544 GN=MIF PE=3 SV=4
tr|A0A0D9RF48|A0A0D9RF48_CHLSB -          MIF_P14174           -            3.8e-73  256.0   0.1   4.2e-73  255.9   0.1   1.0   1   0   0   1   1   1   1 Macrophage migration inhibitory factor OS=Chlorocebus sabaeus OX=60711 GN=MIF PE=3 SV=1
tr|A0A0F7RQT8|A0A0F7RQT8_PAPHA -          MIF_P14174           -            3.8e-73  256.0   0.1   4.2e-73  255.9   0.1   1.0   1   0   0   1   1   1   1 Macrophage migration inhibitory factor OS=Papio hamadryas OX=9557 GN=MIF PE=3 SV=1
tr|A0A2I3M5Q0|A0A2I3M5Q0_PAPAN -          MIF_P14174           -            3.8e-73  256.0   0.1   4.2e-73  255.9   0.1   1.0   1   0   0   1   1   1   1 Macrophage migration inhibitory factor OS=Papio anubis OX=9555 GN=MIF PE=3 SV=1
tr|A0A2I3TNA2|A0A2I3TNA2_PANTR -          MIF_P14174           -            3.8e-73  256.0   0.1   4.2e-73  255.9   0.1   1.0   1   0   0   1   1   1   1 Macrophage migration inhibitory factor OS=Pan troglodytes OX=9598 GN=MIF PE=3 SV=1
tr|A0A2K5EMK3|A0A2K5EMK3_AOTNA -          MIF_P14174           -            3.8e-73  256.0   0.1   4.2e-73  255.9   0.1   1.0   1   0   0   1   1   1   1 Macrophage migration inhibitory factor OS=Aotus nancymaae OX=37293 GN=MIF PE=3 SV=1
tr|A0A2K5KZX3|A0A2K5KZX3_CERAT -          MIF_P14174           -            3.8e-73  256.0   0.1   4.2e-73  255.9   0.1   1.0   1   0   0   1   1   1   1 Macrophage migration inhibitory factor OS=Cercocebus atys OX=9531 GN=MIF PE=3 SV=1
